F_0,F_1,F_2,Points_Magnitude
-216.3758650787,-244.2773959634,180.3709665557,1.6187543869
-14.6623316729,10.6810369322,180.3530021464,1.3967185020
-31.8562929940,44.5434404795,180.3265442305,1.4479088783
41.3772213763,6.8412371698,179.9173043828,1.3908571005
12.7530829969,42.3996752644,179.6554925682,1.4477051497
-103.3793458773,14.3182595757,179.5796756167,1.3896623850
-65.0757747773,29.5601052305,179.2500905849,1.4203538895
86.0226281944,30.8580716972,178.9759947455,1.4315783978
-120.4957529368,14.4448266369,178.9010783175,1.3883453608
-135.5596425055,15.0303375025,178.8438018824,1.3872526884
83.9967385761,38.3147427593,178.6159650845,1.4404311180
50.6223762232,6.0901771365,178.3251792088,1.3913334608
96.9662478959,27.8181087500,177.8583391463,1.4269570112
-89.9620727819,6.1613488338,177.7731684579,1.3780562878
96.9011475024,23.5272654351,177.5132308447,1.4183158875
77.2878145656,48.8371432476,176.5693974135,1.4568406343
-112.7717407573,51.7537404421,176.0533534026,1.4421578646
-160.9990627198,-200.8840745171,175.9809046623,1.6035921574
94.7233893571,20.6097513903,175.9455260100,1.4148430824
55.2105548011,-138.8414348207,175.8883807480,1.5775990486
126.5164294462,-172.2333579321,175.8828509675,1.5861847401
-282.6270115442,-328.1978480349,175.4127680695,1.6440303326
-131.0667981632,6.8027404090,174.9775763027,1.3732905388
-59.0897109636,-139.9818565324,174.4118524268,1.5808185339
69.6562292202,6.4837401154,174.4008776992,1.3914592266
-101.9005564259,6.7029488230,174.0296334144,1.3762898445
61.5286365435,6.6662666373,173.9953181211,1.3914204836
82.2014749300,6.2770409964,173.7386400426,1.3926655054
-118.8090863389,6.5269275327,173.5489046785,1.3748348951
-133.5342597899,-173.5347927674,173.4812095453,1.5918511152
-46.2443061740,1.5512763230,172.8332653965,1.3688797951
90.2917611714,39.6652953366,172.6399463189,1.4452251196
150.0004264715,-188.8174738368,172.5644363527,1.5925956964
93.8361004571,32.8376843650,172.4920335112,1.4326083660
-48.5127649976,41.4549111477,171.9963085726,1.4433565140
-121.9652132088,42.2432035163,171.6278841666,1.4284374714
-38.5527101706,51.4615851946,171.4821994027,1.4598132372
97.0012382362,26.3464382811,171.2978399917,1.4260430336
-49.1776762079,50.3606842858,171.2831366994,1.4564727545
11.8238949428,10.3134094955,171.2236567198,1.3999230862
-54.5075625768,1.5089940735,171.1235276866,1.3677887917
96.9064362035,22.1756786463,170.9337902325,1.4185177088
-12.3697992433,-129.1315860591,170.9232969993,1.5739834309
91.7316794028,13.4297937705,170.8877319537,1.4050736427
6.9546331319,42.3478559231,170.7606586958,1.4488811493
5.4839916209,-128.6947713857,170.4727530887,1.5733642578
104.5505209643,-153.0045595759,170.0867034051,1.5834460258
64.7848745485,52.7686872882,169.8284791083,1.4700582027
-29.7078472013,-129.7429340838,169.8222858376,1.5743472576
-156.3654709388,-189.4574493407,169.8075241341,1.5982999802
-91.2292673604,50.9991088640,169.6241649953,1.4460214376
-59.8939984820,49.6526671878,169.6032617744,1.4545466900
17.0565776992,9.1588518871,169.5709106282,1.3989077806
-133.8388920586,6.0532521859,169.4911159344,1.3730312586
90.8668923974,6.4709601641,169.1823411929,1.3928095102
20.0959428415,40.6693019287,168.6066333978,1.4499543905
79.6712265132,1.7610435906,168.5195113427,1.3793772459
183.6744051436,-212.4360514490,168.4828724017,1.6008309126
93.2164656843,35.7289124619,168.2171614429,1.4398517609
25.4005183401,-127.9748182339,168.2132225503,1.5724295378
70.7840677595,-136.8855945086,167.6510250055,1.5726546049
-59.0561152538,43.5201504219,167.5630175653,1.4455591440
92.9790959384,39.3503896539,167.5390038088,1.4458898306
37.4241656735,4.5388174690,167.0084209843,1.3860033751
66.9506760278,1.6603657625,166.6148300477,1.3787465096
74.0988020090,52.6472612690,166.4705271934,1.4669631720
-48.8295290956,-129.4166079663,166.3606235457,1.5742564201
52.0733329242,49.9831389688,166.2674869048,1.4647824764
85.1326154231,45.4333393136,166.2070040252,1.4564743042
88.9144285818,2.0069863782,166.1356529151,1.3796525002
-122.7231950322,47.7344837431,165.8837581734,1.4360684156
58.3116487094,51.7397430191,165.6437726652,1.4694765806
-108.8073173804,-152.2240128814,165.6109838365,1.5886075497
46.5080015446,1.4914995932,165.0677934414,1.3780184984
-141.7022865484,26.0152739010,164.9286281659,1.3986400366
-8.3888181974,8.8340204797,164.2678758894,1.3958623409
-74.7253318879,-136.0416372543,164.1160392840,1.5773357153
-148.3701821116,6.9887427647,164.0292800123,1.3723582029
-147.3292957861,17.5523867168,163.7570961651,1.3876509666
57.2975586104,1.6593999001,163.6599274935,1.3784090281
-186.9739069465,-210.6775376928,163.2585551887,1.6063226461
100.1472502535,6.2513434533,163.2560893108,1.3932567835
-34.8402076304,1.7167737394,163.1250886459,1.3692910671
43.7951415140,-125.6393171951,163.0742570423,1.5710037947
91.4692509964,43.1542855269,163.0311819300,1.4554364681
100.3632762126,13.8857593132,162.7507602627,1.4080487490
31.6649568142,42.7649913314,162.2910788463,1.4555901289
99.5752278895,2.0031054947,161.8904193762,1.3801697493
87.6671314577,53.7357674795,161.6950730948,1.4699145555
-62.8602202699,1.7450695053,161.6504913683,1.3662784100
-94.1709636350,1.8818215911,161.4565445376,1.3629037142
94.6737277074,54.7603648938,161.4433738389,1.4687253237
-58.8444351443,49.6006623185,160.6408977245,1.4586579800
-64.5466155854,-128.1349923011,160.2945868844,1.5736039877
-78.3012683858,1.9725020929,160.2862201043,1.3649219275
109.7788980855,39.2759813132,159.7754625729,1.4458472729
102.3352284030,30.2260265507,159.7338959599,1.4332654476
-125.8758271667,2.3913941002,159.4284886733,1.3592338562
83.5704887529,50.6704670984,159.2170502706,1.4648556709
3.4605292390,8.4985601607,159.0592947352,1.3971567154
103.4025037009,46.0884621249,158.5881495835,1.4562742710
83.2014468076,0.1767503597,158.3723475830,1.3659539223
57.6292989043,-125.4794935350,158.1918367231,1.5694452524
252.2621461939,-268.2265792511,158.0713319540,1.6208040714
74.5543244149,0.0060408082,157.6793261888,1.3656576872
-131.0053352378,32.4436816586,157.5498652678,1.4108148813
-30.0072780649,45.9092619408,157.4541021642,1.4611150026
99.3420059743,-140.5734616200,157.3608995685,1.5772418976
111.0295428300,9.6221789336,156.7904817449,1.4020581245
110.9048227395,6.1048588462,156.7680076352,1.3928816319
-120.6011218269,35.6666587877,156.6680316983,1.4208048582
109.5300143219,18.0400968813,156.5893705166,1.4147896767
118.6289879040,43.5153768621,156.4309271179,1.4524587393
-118.6486471806,49.6558144252,156.4088490651,1.4410226345
116.5990932193,40.1748381322,156.3565492809,1.4446196556
86.8538010905,0.2366979493,156.0811977965,1.3662991524
27.2712423406,5.0661331451,155.8572663415,1.3896265030
-116.5315905131,1.4835177434,155.8065170074,1.3580129147
-106.3859055299,1.6338832568,155.8049126931,1.3597872257
110.4370372951,22.4100072605,155.3832519128,1.4211045504
100.7036229760,52.7758555134,155.2619049601,1.4656616449
109.5933627698,1.7901860285,154.9664198418,1.3803235292
-154.6490531985,18.6081812458,154.7264324258,1.3859193325
224.0650325870,-233.0214750481,154.5856723431,1.6126452684
-154.8793485631,6.7539175658,154.4799706727,1.3707295656
114.1752154385,14.5359738495,154.3748626506,1.4070452452
37.9864030797,46.4046797129,153.8009143481,1.4653165340
96.5614143723,0.2789260539,153.6631086804,1.3668929338
-64.1913320976,-121.4228376932,153.3808748195,1.5679550171
61.6543165145,0.0103345648,153.2966518615,1.3655420542
-124.3432130505,37.9090485768,153.1772772833,1.4250293970
119.3624504999,5.9822975156,153.0897598922,1.3938411474
-115.9974198358,54.2654201310,153.0144247312,1.4500584602
-62.9795111530,47.5947363353,152.8837063442,1.4580838680
-123.6425438596,43.8989540841,152.7966812278,1.4367761612
114.5840692302,21.6929276741,152.6959482408,1.4209464788
260.7105125119,-282.6788568426,152.3454563853,1.6263091564
112.6181635080,37.3956781401,152.1976180167,1.4414668083
82.7658210596,-130.2670151585,152.1314615667,1.5708516836
-40.7375138374,-0.0002168404,151.8846937474,1.3555815220
115.7031700529,12.8933942866,151.5927556585,1.4067826271
-48.4579567464,-0.0330045828,151.3705121307,1.3546831608
57.4165813406,-118.8497790262,151.1103727070,1.5632793903
-106.3360460364,53.9104729400,150.9018404501,1.4551215172
-143.6923337428,30.7163666524,150.8608086709,1.4059277773
-115.5887416584,55.1439888179,150.7710895588,1.4528000355
133.4642906919,-154.8378492045,150.7446606852,1.5841072798
112.8548904732,19.6716538945,150.6578352464,1.4162633419
117.7214684247,1.7979001587,150.4864493895,1.3804728985
3.6447612229,-0.0017573337,150.4130956521,1.2946873903
81.3415376907,55.6139566053,150.3468485906,1.4795749187
-101.3044948736,-136.4425953702,150.1328275857,1.5830618143
-96.1214839257,51.3718168285,150.0711103373,1.4515850544
112.4087288705,47.7914240323,149.9283272806,1.4580193758
17.6178062235,0.0029833169,149.8453758386,1.2961627245
-150.5352519309,22.9421861216,149.3909214407,1.3891164064
105.8545208299,0.1004317701,149.3572957217,1.3675651550
-33.4113796295,49.9402051605,149.3204503914,1.4710657597
107.7791810764,53.8159053423,149.2061034846,1.4697980881
210.6097085968,-220.2139056797,149.0972814943,1.6066696644
110.4156326964,29.5321924869,149.0237786625,1.4327681065
52.1988731566,0.0048322153,148.8022845383,1.3651735783
-135.7661515131,48.6007772239,148.6980437526,1.4395564795
-280.9483824384,-315.8529593172,148.4642506176,1.6534156799
-150.1307576271,28.8767605068,148.1770023482,1.3964171410
157.9602197103,-172.6537966760,148.1401963928,1.5864890814
4.2871602135,-105.6632613478,148.0739097673,1.5615075827
-148.8604112973,5.7458651364,147.9268991984,1.3700141907
-85.7959102074,-127.6494939443,147.8621352465,1.5767023563
-23.4107730009,48.2411586049,147.7798058960,1.4703658819
-108.1350725068,0.8544642390,147.0005596182,1.3561046124
